filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.40_sim32.csv,0.1,0.4,32,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim33.csv,0.1,0.4,33,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim34.csv,0.1,0.4,34,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim35.csv,0.1,0.4,35,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim36.csv,0.1,0.4,36,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim37.csv,0.1,0.4,37,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim38.csv,0.1,0.4,38,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim39.csv,0.1,0.4,39,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim40.csv,0.1,0.4,40,18,17.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim41.csv,0.1,0.4,41,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim42.csv,0.1,0.4,42,17,16.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim43.csv,0.1,0.4,43,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim44.csv,0.1,0.4,44,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim45.csv,0.1,0.4,45,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim46.csv,0.1,0.4,46,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim47.csv,0.1,0.4,47,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim48.csv,0.1,0.4,48,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.40_sim49.csv,0.1,0.4,49,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim0.csv,0.1,0.5,0,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim1.csv,0.1,0.5,1,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim2.csv,0.1,0.5,2,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim3.csv,0.1,0.5,3,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim4.csv,0.1,0.5,4,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim5.csv,0.1,0.5,5,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim6.csv,0.1,0.5,6,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim7.csv,0.1,0.5,7,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim8.csv,0.1,0.5,8,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim9.csv,0.1,0.5,9,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim10.csv,0.1,0.5,10,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim11.csv,0.1,0.5,11,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim12.csv,0.1,0.5,12,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim13.csv,0.1,0.5,13,6,5.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim14.csv,0.1,0.5,14,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim15.csv,0.1,0.5,15,14,13.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim16.csv,0.1,0.5,16,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim17.csv,0.1,0.5,17,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim18.csv,0.1,0.5,18,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim19.csv,0.1,0.5,19,16,15.0,2025-04-07T21:22:44.761847
