beta,gamma,time,S,I,R,num_simulations,timestamp
0.1,0.3,79.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064198
0.1,0.3,80.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064199
0.1,0.3,81.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064200
0.1,0.3,82.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064201
0.1,0.3,83.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064202
0.1,0.3,84.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064203
0.1,0.3,85.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064204
0.1,0.3,86.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064205
0.1,0.3,87.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064206
0.1,0.3,88.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064207
0.1,0.3,89.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064208
0.1,0.3,90.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064209
0.1,0.3,91.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064210
0.1,0.3,92.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064211
0.1,0.3,93.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064212
0.1,0.3,94.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064213
0.1,0.3,95.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064214
0.1,0.3,96.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064215
0.1,0.3,97.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064216
0.1,0.3,98.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064217
0.1,0.3,99.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064218
0.1,0.3,100.0,0.0,0.2,99.8,50,2025-04-07T21:22:52.064219
0.1,0.4,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:52.100899
0.1,0.4,1.0,0.14,76.02,23.84,50,2025-04-07T21:22:52.100905
0.1,0.4,2.0,0.0,50.52,49.48,50,2025-04-07T21:22:52.100906
0.1,0.4,3.0,0.0,32.98,67.02,50,2025-04-07T21:22:52.100908
0.1,0.4,4.0,0.0,21.14,78.86,50,2025-04-07T21:22:52.100909
0.1,0.4,5.0,0.0,14.28,85.72,50,2025-04-07T21:22:52.100910
0.1,0.4,6.0,0.0,9.14,90.86,50,2025-04-07T21:22:52.100911
0.1,0.4,7.0,0.0,5.8,94.2,50,2025-04-07T21:22:52.100912
0.1,0.4,8.0,0.0,3.58,96.42,50,2025-04-07T21:22:52.100913
0.1,0.4,9.0,0.0,2.16,97.84,50,2025-04-07T21:22:52.100914
0.1,0.4,10.0,0.0,1.4,98.6,50,2025-04-07T21:22:52.100915
0.1,0.4,11.0,0.0,0.9,99.1,50,2025-04-07T21:22:52.100916
0.1,0.4,12.0,0.0,0.6,99.4,50,2025-04-07T21:22:52.100917
0.1,0.4,13.0,0.0,0.52,99.48,50,2025-04-07T21:22:52.100918
0.1,0.4,14.0,0.0,0.44,99.56,50,2025-04-07T21:22:52.100919
0.1,0.4,15.0,0.0,0.4,99.6,50,2025-04-07T21:22:52.100920
0.1,0.4,16.0,0.0,0.36,99.64,50,2025-04-07T21:22:52.100921
0.1,0.4,17.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100922
0.1,0.4,18.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100923
0.1,0.4,19.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100924
0.1,0.4,20.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100925
0.1,0.4,21.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100926
0.1,0.4,22.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100927
0.1,0.4,23.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100928
0.1,0.4,24.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100929
0.1,0.4,25.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100930
0.1,0.4,26.0,0.0,0.3,99.7,50,2025-04-07T21:22:52.100931
